Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_60,VAR_2_60,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Total stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Total stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_61,VAR_2_61,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Same as usual residence,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Same as usual residence)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_62,VAR_2_62,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Elsewhere in New Zealand,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Elsewhere in New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_63,VAR_2_63,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Not born five years ago,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Not born five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_64,VAR_2_64,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Overseas,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_65,VAR_2_65,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,No fixed abode five years ago,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (No fixed abode five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_66,VAR_2_66,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Response unidentifiable,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Response unidentifiable)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_67,VAR_2_67,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Unable to match to admin data,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Unable to match to admin data)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_68,VAR_2_68,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,New Zealand not further defined,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (New Zealand not further defined)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_69,VAR_2_69,Individual,Census usually resident population count,2023,Count,Usual residence 5 years ago indicator,Not stated,"Subject pop: Census usually resident population count, Year: 2023, Measure: Count, Var1: Usual residence 5 years ago indicator (Not stated)"
