Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_53,VAR_4_53,Household,Households in occupied private dwellings,2023,Count,Household crowding index,One bedroom spare,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (One bedroom spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_54,VAR_4_54,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Two or more bedrooms spare,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Two or more bedrooms spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_55,VAR_4_55,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Not stated,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Not stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_56,VAR_4_56,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Total,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_57,VAR_4_57,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_58,VAR_4_58,Household,Households in occupied private dwellings,2013,Count,Household composition,One-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (One-family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_59,VAR_4_59,Household,Households in occupied private dwellings,2013,Count,Household composition,Two-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Two-family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_60,VAR_4_60,Household,Households in occupied private dwellings,2013,Count,Household composition,Three or more family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Three or more family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_61,VAR_4_61,Household,Households in occupied private dwellings,2013,Count,Household composition,Other multi-person household,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Other multi-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_62,VAR_4_62,Household,Households in occupied private dwellings,2013,Count,Household composition,One-person household,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (One-person household)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_63,VAR_4_63,Household,Households in occupied private dwellings,2013,Count,Household composition,Household composition unidentifiable,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Household composition unidentifiable)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_64,VAR_4_64,Household,Households in occupied private dwellings,2013,Count,Household composition,Total,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_65,VAR_4_65,Household,Households in occupied private dwellings,2013,Count,Household composition,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Household composition (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_66,VAR_4_66,Household,Households in occupied private dwellings,2018,Count,Household composition,One-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (One-family household (with or without other people))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_67,VAR_4_67,Household,Households in occupied private dwellings,2018,Count,Household composition,Two-family household (with or without other people),"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household composition (Two-family household (with or without other people))"
